name, geometry, date (mm/dd/yr), short wavelength displacement, source file
Series 10, POINT(-77.86118127592486 40.80210198657346), 05/19/2020, 0.0031020641, OPERA_L3_DISP-S1_IW_F00836_VV_20190909T230736Z_20200518T230736Z_v1.0_20250831T005427Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 05/31/2020, 0.0086218119, OPERA_L3_DISP-S1_IW_F00836_VV_20190909T230736Z_20200530T230737Z_v1.0_20250831T005427Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 06/12/2020, 0.0030528903, OPERA_L3_DISP-S1_IW_F00836_VV_20190909T230736Z_20200611T230738Z_v1.0_20250831T005427Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 06/24/2020, 0.0079532862, OPERA_L3_DISP-S1_IW_F00836_VV_20190909T230736Z_20200623T230739Z_v1.0_20250831T005427Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 07/06/2020, 0.0057708025, OPERA_L3_DISP-S1_IW_F00836_VV_20190909T230736Z_20200705T230739Z_v1.0_20250831T005427Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 07/18/2020, 0.0090938807, OPERA_L3_DISP-S1_IW_F00836_VV_20200705T230739Z_20200717T230740Z_v1.0_20250831T084302Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 07/30/2020, 0.0140887499, OPERA_L3_DISP-S1_IW_F00836_VV_20200705T230739Z_20200729T230741Z_v1.0_20250831T084302Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 08/11/2020, 0.0052658319, OPERA_L3_DISP-S1_IW_F00836_VV_20200705T230739Z_20200810T230741Z_v1.0_20250831T084302Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 08/23/2020, 0.0116358995, OPERA_L3_DISP-S1_IW_F00836_VV_20200705T230739Z_20200822T230742Z_v1.0_20250831T084302Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 09/04/2020, 0.0116034746, OPERA_L3_DISP-S1_IW_F00836_VV_20200705T230739Z_20200903T230743Z_v1.0_20250831T084302Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 09/16/2020, 0.0096999407, OPERA_L3_DISP-S1_IW_F00836_VV_20200705T230739Z_20200915T230743Z_v1.0_20250831T084302Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 09/28/2020, 0.0076674223, OPERA_L3_DISP-S1_IW_F00836_VV_20200705T230739Z_20200927T230743Z_v1.0_20250831T084302Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 10/10/2020, 0.0046976805, OPERA_L3_DISP-S1_IW_F00836_VV_20200705T230739Z_20201009T230744Z_v1.0_20250831T084302Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 10/22/2020, 0.0065052509, OPERA_L3_DISP-S1_IW_F00836_VV_20200705T230739Z_20201021T230744Z_v1.0_20250831T084302Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 11/03/2020, 0.0039473772, OPERA_L3_DISP-S1_IW_F00836_VV_20200705T230739Z_20201102T230744Z_v1.0_20250831T084302Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 11/15/2020, 0.0050922632, OPERA_L3_DISP-S1_IW_F00836_VV_20200705T230739Z_20201114T230743Z_v1.0_20250831T084302Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 11/27/2020, 0.006741643, OPERA_L3_DISP-S1_IW_F00836_VV_20200705T230739Z_20201126T230743Z_v1.0_20250831T084302Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 03/27/2021, 0.0003100634, OPERA_L3_DISP-S1_IW_F00836_VV_20200705T230739Z_20210326T230740Z_v1.0_20250831T084302Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 04/20/2021, 0.0024024248, OPERA_L3_DISP-S1_IW_F00836_VV_20200705T230739Z_20210419T230741Z_v1.0_20250831T084302Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 05/02/2021, 0.0056568086, OPERA_L3_DISP-S1_IW_F00836_VV_20200705T230739Z_20210501T230741Z_v1.0_20250831T084302Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 05/26/2021, 0.0079775751, OPERA_L3_DISP-S1_IW_F00836_VV_20210501T230741Z_20210525T230743Z_v1.0_20250831T161549Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 06/07/2021, 0.0112234056, OPERA_L3_DISP-S1_IW_F00836_VV_20210501T230741Z_20210606T230743Z_v1.0_20250831T161549Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 06/19/2021, 0.007869333, OPERA_L3_DISP-S1_IW_F00836_VV_20210501T230741Z_20210618T230744Z_v1.0_20250831T161549Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 07/13/2021, 0.0125833452, OPERA_L3_DISP-S1_IW_F00836_VV_20210501T230741Z_20210712T230746Z_v1.0_20250831T161549Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 08/06/2021, 0.0051513612, OPERA_L3_DISP-S1_IW_F00836_VV_20210501T230741Z_20210805T230747Z_v1.0_20250831T161549Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 08/18/2021, 0.0116516054, OPERA_L3_DISP-S1_IW_F00836_VV_20210501T230741Z_20210817T230747Z_v1.0_20250831T161549Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 08/30/2021, 0.0126815736, OPERA_L3_DISP-S1_IW_F00836_VV_20210501T230741Z_20210829T230748Z_v1.0_20250831T161549Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 09/11/2021, 0.007676214, OPERA_L3_DISP-S1_IW_F00836_VV_20210501T230741Z_20210910T230749Z_v1.0_20250831T161549Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 09/23/2021, 0.01704368, OPERA_L3_DISP-S1_IW_F00836_VV_20210501T230741Z_20210922T230749Z_v1.0_20250831T161549Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 10/05/2021, 0.0081411302, OPERA_L3_DISP-S1_IW_F00836_VV_20210501T230741Z_20211004T230749Z_v1.0_20250831T161549Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 10/17/2021, 0.007122606, OPERA_L3_DISP-S1_IW_F00836_VV_20210501T230741Z_20211016T230749Z_v1.0_20250831T161549Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 10/29/2021, 0.0042336881, OPERA_L3_DISP-S1_IW_F00836_VV_20210501T230741Z_20211028T230749Z_v1.0_20250831T161549Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 11/10/2021, 0.0066120327, OPERA_L3_DISP-S1_IW_F00836_VV_20210501T230741Z_20211109T230749Z_v1.0_20250831T161549Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 11/22/2021, 0.0046542585, OPERA_L3_DISP-S1_IW_F00836_VV_20210501T230741Z_20211121T230749Z_v1.0_20250831T161549Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 04/15/2022, 0.0050936639, OPERA_L3_DISP-S1_IW_F00836_VV_20210501T230741Z_20220414T230746Z_v1.0_20250831T161549Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 04/27/2022, 0.0000630319, OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20220426T230747Z_v1.0_20250831T211447Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 05/09/2022, 0.0042813718, OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20220508T230747Z_v1.0_20250831T211447Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 06/26/2022, 0.006717056, OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20220625T230751Z_v1.0_20250831T211447Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 07/20/2022, 0.0131617486, OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20220719T230752Z_v1.0_20250831T211447Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 08/01/2022, 0.0111580789, OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20220731T230753Z_v1.0_20250831T211447Z.nc
Series 10, POINT(-77.86118127592486 40.80210198657346), 08/13/2022, 0.0115433633, OPERA_L3_DISP-S1_IW_F00836_VV_20220414T230746Z_20220812T230754Z_v1.0_20250831T211447Z.nc
