event_id,dataset,date,disp_mm,n_pairs
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-03-24,-46.25918123202273,1
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-03-25,149.46406108656473,1
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-03-30,2.761490634278187,4
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-03-31,23.99959205179375,1
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-04-05,-46.87085535113039,6
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-04-06,3.392649077728315,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-04-11,14.389660661137091,9
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-04-12,-38.85640956300675,3
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-04-17,-34.61076259288074,8
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-04-18,-2.7497704967922463,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-04-23,-49.98877028365154,4
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-04-24,-17.642826572716,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-04-29,37.17047128149019,5
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-04-30,3.6471285477478226,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-05-05,23.724496962216108,3
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-05-06,-8.384250785135379,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-05-11,-0.8871588140592124,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-05-12,-38.70518792258132,1
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-05-17,47.23891238889704,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-05-18,-47.811520671864386,1
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-05-23,-50.65804913677247,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-05-29,66.45031757463411,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-05-30,-0.3171521999501885,1
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-06-04,67.17933240846233,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-06-05,27.28206787035287,1
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-06-11,29.162962574997074,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-06-16,-69.43491376015456,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-06-17,-10.463465813089963,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-06-22,-22.085161801343705,4
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-06-23,3.3209976550337794,4
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-06-28,20.94580405784256,7
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-06-29,3.044903938438628,2
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-07-04,-18.9708649338624,7
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-07-05,2.3279391644679848,4
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-07-10,5.224452221931829,10
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-07-11,23.39923123035432,3
2018-07-26_codorus_creek_york,ARIA_S1_GUNW,2018-07-16,57.26534771907182,5
